episode,seat0_wr,bot_wr,loss,epsilon,avg_game_length,vd_s0,vd_s1,vd_s2,vd_s3,buffer_size
1000,0.26,0.74,0.281146,0.961,56.6,0.0,0.0,0.0,0.0,43332
2000,0.17,0.83,0.445167,0.9223,50.7,0.0,0.0,0.0,0.0,86313
3000,0.2,0.8,0.65505,0.8854,57.1,0.0,0.0,0.0,0.0,100000
4000,0.17,0.83,2.669961,0.8469,58.8,0.0,0.0,0.0,0.0,100000
5000,0.18,0.82,1.011219,0.8086,51.0,0.0,0.0,0.0,0.0,100000
6000,0.24,0.76,0.384084,0.7715,58.3,0.0,0.0,0.0,0.0,100000
7000,0.25,0.75,1.878374,0.7333,54.6,0.0,0.0,0.0,0.0,100000
8000,0.25,0.75,0.676845,0.6952,57.9,0.0,0.0,0.0,0.0,100000
9000,0.17,0.83,1.276995,0.6586,57.8,0.0,0.0,0.0,0.0,100000
10000,0.13,0.87,2.267255,0.6214,54.3,0.0,0.0,0.0,0.0,100000
11000,0.25,0.75,0.429163,0.5848,53.3,0.0,0.0,0.0,0.0,100000
12000,0.13,0.87,0.309314,0.5479,54.7,0.0,0.0,0.0,0.0,100000
13000,0.15,0.85,0.287627,0.5104,51.1,0.0,0.0,0.0,0.0,100000
14000,0.21,0.79,0.444555,0.4719,50.6,0.0,0.0,0.0,0.0,100000
15000,0.23,0.77,0.195914,0.4346,55.4,0.0,0.0,0.0,0.0,100000
16000,0.18,0.82,0.407522,0.3976,56.9,0.0,0.0,0.0,0.0,100000
17000,0.14,0.86,0.180039,0.3609,59.8,0.0,0.0,0.0,0.0,100000
18000,0.17,0.83,0.294527,0.3248,55.9,0.0,0.0,0.0,0.0,100000
19000,0.17,0.83,0.328191,0.2866,56.4,0.0,0.0,0.0,0.0,100000
20000,0.22,0.78,0.165114,0.2496,52.6,0.0,0.0,0.0,0.0,100000
21000,0.16,0.84,0.115577,0.2129,52.4,0.0,0.0,0.0,0.0,100000
22000,0.14,0.86,0.237376,0.1762,53.2,0.0,0.0,0.0,0.0,100000
23000,0.14,0.86,0.136138,0.1392,55.6,0.0,0.0,0.0,0.0,100000
24000,0.22,0.78,0.127162,0.1024,53.7,0.0,0.0,0.0,0.0,100000
25000,0.29,0.71,0.380392,0.1,50.0,0.0,0.0,0.0,0.0,100000
26000,0.14,0.86,0.136309,0.1,55.4,0.0,0.0,0.0,0.0,100000
27000,0.21,0.79,0.117238,0.1,52.6,0.0,0.0,0.0,0.0,100000
28000,0.21,0.79,0.13938,0.1,56.8,0.0,0.0,0.0,0.0,100000
29000,0.22,0.78,0.093897,0.1,57.4,0.0,0.0,0.0,0.0,100000
30000,0.21,0.79,0.121134,0.1,52.1,0.0,0.0,0.0,0.0,100000
31000,0.19,0.81,0.120683,0.1,56.1,0.0,0.0,0.0,0.0,100000
32000,0.19,0.81,0.175297,0.1,52.8,0.0,0.0,0.0,0.0,100000
33000,0.2,0.8,0.234742,0.1,52.0,0.0,0.0,0.0,0.0,100000
34000,0.19,0.81,0.146733,0.1,54.9,0.0,0.0,0.0,0.0,100000
35000,0.13,0.87,0.25878,0.1,54.7,0.0,0.0,0.0,0.0,100000
36000,0.18,0.82,0.241968,0.1,57.4,0.0,0.0,0.0,0.0,100000
37000,0.26,0.74,0.079693,0.1,58.4,0.0,0.0,0.0,0.0,100000
38000,0.17,0.83,0.106833,0.1,57.2,0.0,0.0,0.0,0.0,100000
39000,0.1,0.9,0.054615,0.1,61.2,0.0,0.0,0.0,0.0,100000
40000,0.22,0.78,0.106821,0.1,53.1,0.0,0.0,0.0,0.0,100000
41000,0.18,0.82,0.226857,0.1,53.1,0.0,0.0,0.0,0.0,100000
42000,0.2,0.8,0.10832,0.1,53.6,0.0,0.0,0.0,0.0,100000
43000,0.19,0.81,0.341028,0.1,52.9,0.0,0.0,0.0,0.0,100000
44000,0.22,0.78,0.118215,0.1,51.2,0.0,0.0,0.0,0.0,100000
45000,0.17,0.83,0.113056,0.1,57.2,0.0,0.0,0.0,0.0,100000
46000,0.23,0.77,0.157053,0.1,58.4,0.0,0.0,0.0,0.0,100000
47000,0.18,0.82,0.095332,0.1,52.9,0.0,0.0,0.0,0.0,100000
48000,0.18,0.82,0.144117,0.1,50.9,0.0,0.0,0.0,0.0,100000
49000,0.16,0.84,0.107292,0.1,52.5,0.0,0.0,0.0,0.0,100000
50000,0.18,0.82,0.155182,0.1,48.3,0.0,0.0,0.0,0.0,100000
51000,0.16,0.84,0.272083,0.1,52.4,0.0,0.0,0.0,0.0,100000
52000,0.16,0.84,0.16947,0.1,53.9,0.0,0.0,0.0,0.0,100000
53000,0.19,0.81,0.142002,0.1,54.6,0.0,0.0,0.0,0.0,100000
54000,0.13,0.87,0.083167,0.1,56.1,0.0,0.0,0.0,0.0,100000
55000,0.19,0.81,0.13499,0.1,52.8,0.0,0.0,0.0,0.0,100000
56000,0.21,0.79,0.080772,0.1,54.4,0.0,0.0,0.0,0.0,100000
57000,0.16,0.84,0.133213,0.1,54.5,0.0,0.0,0.0,0.0,100000
58000,0.15,0.85,0.267716,0.1,57.0,0.0,0.0,0.0,0.0,100000
59000,0.17,0.83,0.126314,0.1,59.4,0.0,0.0,0.0,0.0,100000
60000,0.16,0.84,0.236802,0.1,55.0,0.0,0.0,0.0,0.0,100000
61000,0.19,0.81,0.131814,0.1,56.0,0.0,0.0,0.0,0.0,100000
62000,0.19,0.81,0.122239,0.1,54.8,0.0,0.0,0.0,0.0,100000
63000,0.19,0.81,0.115878,0.1,57.6,0.0,0.0,0.0,0.0,100000
64000,0.21,0.79,0.053535,0.1,57.3,0.0,0.0,0.0,0.0,100000
65000,0.17,0.83,0.124434,0.1,51.5,0.0,0.0,0.0,0.0,100000
66000,0.21,0.79,0.335814,0.1,58.4,0.0,0.0,0.0,0.0,100000
67000,0.16,0.84,0.151651,0.1,57.6,0.0,0.0,0.0,0.0,100000
68000,0.22,0.78,0.15109,0.1,58.6,0.0,0.0,0.0,0.0,100000
69000,0.26,0.74,0.214331,0.1,54.2,0.0,0.0,0.0,0.0,100000
70000,0.24,0.76,0.270942,0.1,56.2,0.0,0.0,0.0,0.0,100000
71000,0.16,0.84,0.043948,0.1,54.7,0.0,0.0,0.0,0.0,100000
72000,0.2,0.8,0.096656,0.1,56.1,0.0,0.0,0.0,0.0,100000
73000,0.11,0.89,0.107979,0.1,56.5,0.0,0.0,0.0,0.0,100000
74000,0.18,0.82,0.238829,0.1,57.1,0.0,0.0,0.0,0.0,100000
75000,0.15,0.85,0.135335,0.1,54.6,0.0,0.0,0.0,0.0,100000
76000,0.17,0.83,0.099624,0.1,56.6,0.0,0.0,0.0,0.0,100000
77000,0.15,0.85,0.114071,0.1,51.3,0.0,0.0,0.0,0.0,100000
78000,0.15,0.85,0.069603,0.1,57.8,0.0,0.0,0.0,0.0,100000
79000,0.17,0.83,0.098757,0.1,56.2,0.0,0.0,0.0,0.0,100000
80000,0.14,0.86,0.144695,0.1,59.6,0.0,0.0,0.0,0.0,100000
81000,0.21,0.79,0.082655,0.1,53.7,0.0,0.0,0.0,0.0,100000
82000,0.18,0.82,0.168625,0.1,56.2,0.0,0.0,0.0,0.0,100000
83000,0.22,0.78,0.099996,0.1,58.5,0.0,0.0,0.0,0.0,100000
84000,0.14,0.86,0.182918,0.1,52.1,0.0,0.0,0.0,0.0,100000
85000,0.18,0.82,0.108454,0.1,50.4,0.0,0.0,0.0,0.0,100000
86000,0.2,0.8,0.11399,0.1,53.0,0.0,0.0,0.0,0.0,100000
87000,0.22,0.78,0.090409,0.1,60.1,0.0,0.0,0.0,0.0,100000
88000,0.21,0.79,0.073455,0.1,53.5,0.0,0.0,0.0,0.0,100000
89000,0.21,0.79,0.093463,0.1,54.7,0.0,0.0,0.0,0.0,100000
90000,0.16,0.84,0.201341,0.1,55.3,0.0,0.0,0.0,0.0,100000
91000,0.17,0.83,0.404772,0.1,57.0,0.0,0.0,0.0,0.0,100000
92000,0.25,0.75,0.199683,0.1,57.1,0.0,0.0,0.0,0.0,100000
93000,0.09,0.91,0.141195,0.1,53.1,0.0,0.0,0.0,0.0,100000
94000,0.25,0.75,0.071368,0.1,54.1,0.0,0.0,0.0,0.0,100000
95000,0.18,0.82,0.099392,0.1,55.4,0.0,0.0,0.0,0.0,100000
96000,0.25,0.75,0.144955,0.1,57.0,0.0,0.0,0.0,0.0,100000
97000,0.19,0.81,0.176411,0.1,50.0,0.0,0.0,0.0,0.0,100000
98000,0.17,0.83,0.129123,0.1,52.0,0.0,0.0,0.0,0.0,100000
99000,0.16,0.84,0.098305,0.1,53.6,0.0,0.0,0.0,0.0,100000
100000,0.16,0.84,0.170423,0.1,59.2,0.0,0.0,0.0,0.0,100000
