episode,seat0_wr,bot_wr,loss,epsilon,avg_game_length,vd_s0,vd_s1,vd_s2,vd_s3,buffer_size
1000,0.29,0.71,0.153673,0.9614,53.7,0.48,0.0,0.0,0.0,42883
2000,0.32,0.68,0.121491,0.9229,57.9,0.39,0.0,0.0,0.0,85636
3000,0.31,0.69,0.856546,0.8847,58.8,0.62,0.0,0.0,0.0,100000
4000,0.21,0.79,1.571671,0.846,53.2,0.67,0.0,0.0,0.0,100000
5000,0.24,0.76,4.554797,0.8086,61.6,0.31,0.0,0.0,0.0,100000
6000,0.23,0.77,13.121848,0.77,58.5,0.65,0.0,0.0,0.0,100000
7000,0.33,0.67,5.902742,0.731,57.0,0.66,0.0,0.0,0.0,100000
8000,0.38,0.62,1.492027,0.6936,60.5,0.77,0.0,0.0,0.0,100000
9000,0.28,0.72,0.972304,0.6546,55.2,0.58,0.0,0.0,0.0,100000
10000,0.3,0.7,0.143687,0.6168,56.4,0.41,0.0,0.0,0.0,100000
11000,0.34,0.66,0.526074,0.579,52.7,0.68,0.0,0.0,0.0,100000
12000,0.22,0.78,0.493847,0.5405,63.4,0.82,0.0,0.0,0.0,100000
13000,0.21,0.79,1.197764,0.5027,58.9,0.32,0.0,0.0,0.0,100000
14000,0.2,0.8,0.234022,0.4638,60.1,0.79,0.0,0.0,0.0,100000
15000,0.26,0.74,0.222794,0.4248,58.4,0.75,0.0,0.0,0.0,100000
16000,0.32,0.68,0.098716,0.3858,55.9,0.69,0.0,0.0,0.0,100000
17000,0.37,0.63,0.490174,0.3477,60.9,0.63,0.0,0.0,0.0,100000
18000,0.29,0.71,0.361408,0.3079,61.0,0.57,0.0,0.0,0.0,100000
19000,0.25,0.75,0.194874,0.2689,55.7,0.52,0.0,0.0,0.0,100000
20000,0.29,0.71,0.119318,0.2302,59.1,0.71,0.0,0.0,0.0,100000
21000,0.3,0.7,0.091562,0.1903,58.5,0.53,0.0,0.0,0.0,100000
22000,0.37,0.63,0.416239,0.1518,61.0,0.69,0.0,0.0,0.0,100000
23000,0.27,0.73,0.431755,0.1127,53.6,0.37,0.0,0.0,0.0,100000
24000,0.25,0.75,0.162448,0.1,60.9,0.57,0.0,0.0,0.0,100000
25000,0.23,0.77,0.136565,0.1,57.2,0.93,0.0,0.0,0.0,100000
26000,0.33,0.67,0.134709,0.1,57.3,0.46,0.0,0.0,0.0,100000
27000,0.24,0.76,0.194352,0.1,58.7,0.36,0.0,0.0,0.0,100000
28000,0.24,0.76,0.180306,0.1,53.6,0.74,0.0,0.0,0.0,100000
29000,0.28,0.72,0.293035,0.1,56.9,0.56,0.0,0.0,0.0,100000
30000,0.27,0.73,0.087853,0.1,60.0,0.62,0.0,0.0,0.0,100000
31000,0.28,0.72,0.229831,0.1,55.8,0.44,0.0,0.0,0.0,100000
32000,0.34,0.66,0.250154,0.1,55.8,0.47,0.0,0.0,0.0,100000
33000,0.31,0.69,0.210825,0.1,59.7,0.5,0.0,0.0,0.0,100000
34000,0.27,0.73,0.385117,0.1,59.2,0.43,0.0,0.0,0.0,100000
35000,0.28,0.72,0.215939,0.1,58.6,0.74,0.0,0.0,0.0,100000
36000,0.35,0.65,0.208825,0.1,61.6,0.66,0.0,0.0,0.0,100000
37000,0.22,0.78,0.267448,0.1,58.9,0.57,0.0,0.0,0.0,100000
38000,0.35,0.65,0.169656,0.1,60.1,0.7,0.0,0.0,0.0,100000
39000,0.29,0.71,0.109089,0.1,59.3,0.59,0.0,0.0,0.0,100000
40000,0.32,0.68,0.184638,0.1,64.5,0.83,0.0,0.0,0.0,100000
41000,0.22,0.78,0.059265,0.1,55.5,0.66,0.0,0.0,0.0,100000
42000,0.29,0.71,0.252749,0.1,56.8,0.53,0.0,0.0,0.0,100000
43000,0.3,0.7,0.108159,0.1,58.8,0.68,0.0,0.0,0.0,100000
44000,0.23,0.77,0.375855,0.1,54.4,0.9,0.0,0.0,0.0,100000
45000,0.2,0.8,0.117856,0.1,56.6,0.61,0.0,0.0,0.0,100000
46000,0.37,0.63,0.18224,0.1,57.9,0.46,0.0,0.0,0.0,100000
47000,0.23,0.77,0.185588,0.1,62.7,0.8,0.0,0.0,0.0,100000
48000,0.25,0.75,0.085543,0.1,54.8,0.63,0.0,0.0,0.0,100000
49000,0.32,0.68,0.346672,0.1,56.1,0.7,0.0,0.0,0.0,100000
50000,0.29,0.71,0.161229,0.1,60.0,0.61,0.0,0.0,0.0,100000
51000,0.38,0.62,0.105886,0.1,60.6,0.65,0.0,0.0,0.0,100000
52000,0.37,0.63,0.125958,0.1,53.7,0.56,0.0,0.0,0.0,100000
53000,0.17,0.83,0.353586,0.1,60.3,0.76,0.0,0.0,0.0,100000
54000,0.31,0.69,0.216495,0.1,57.4,0.34,0.0,0.0,0.0,100000
55000,0.34,0.66,0.155901,0.1,52.2,0.53,0.0,0.0,0.0,100000
56000,0.23,0.77,0.083391,0.1,58.6,0.55,0.0,0.0,0.0,100000
57000,0.22,0.78,0.487178,0.1,60.2,0.67,0.0,0.0,0.0,100000
58000,0.23,0.77,0.176934,0.1,57.1,0.55,0.0,0.0,0.0,100000
59000,0.35,0.65,0.380315,0.1,49.9,0.35,0.0,0.0,0.0,100000
60000,0.3,0.7,0.131658,0.1,62.4,0.52,0.0,0.0,0.0,100000
61000,0.31,0.69,0.117473,0.1,56.4,0.4,0.0,0.0,0.0,100000
62000,0.31,0.69,0.092082,0.1,59.1,0.84,0.0,0.0,0.0,100000
