episode,seat0_wr,bot_wr,loss,epsilon,avg_game_length,vd_s0,vd_s1,vd_s2,vd_s3,buffer_size
101000,0.26,0.74,6.103637,0.1,55.1,0.0,0.0,0.0,0.0,100000
102000,0.15,0.85,1.262447,0.1,52.6,0.0,0.0,0.0,0.0,100000
103000,0.17,0.83,1.233037,0.1,57.8,0.0,0.0,0.0,0.0,100000
104000,0.27,0.73,3.423415,0.1,58.4,0.0,0.0,0.0,0.0,100000
105000,0.24,0.76,5.447691,0.1,50.8,0.0,0.0,0.0,0.0,100000
106000,0.19,0.81,1.257757,0.1,56.3,0.0,0.0,0.0,0.0,100000
107000,0.22,0.78,1.47961,0.1,52.6,0.0,0.0,0.0,0.0,100000
108000,0.14,0.86,3.73167,0.1,58.1,0.0,0.0,0.0,0.0,100000
109000,0.15,0.85,1.079428,0.1,54.3,0.0,0.0,0.0,0.0,100000
110000,0.2,0.8,4.534085,0.1,51.6,0.0,0.0,0.0,0.0,100000
111000,0.15,0.85,0.85217,0.1,49.5,0.0,0.0,0.0,0.0,100000
112000,0.18,0.82,1.904678,0.1,56.5,0.0,0.0,0.0,0.0,100000
113000,0.16,0.84,2.536601,0.1,55.8,0.0,0.0,0.0,0.0,100000
114000,0.22,0.78,1.292934,0.1,57.7,0.0,0.0,0.0,0.0,100000
115000,0.22,0.78,1.467276,0.1,57.0,0.0,0.0,0.0,0.0,100000
116000,0.14,0.86,1.647977,0.1,57.0,0.0,0.0,0.0,0.0,100000
117000,0.17,0.83,3.326532,0.1,52.7,0.0,0.0,0.0,0.0,100000
118000,0.17,0.83,5.696043,0.1,53.3,0.0,0.0,0.0,0.0,100000
119000,0.23,0.77,1.558472,0.1,58.9,0.0,0.0,0.0,0.0,100000
120000,0.25,0.75,1.880401,0.1,53.2,0.0,0.0,0.0,0.0,100000
121000,0.19,0.81,0.993869,0.1,49.6,0.0,0.0,0.0,0.0,100000
122000,0.15,0.85,8.944268,0.1,54.5,0.0,0.0,0.0,0.0,100000
123000,0.23,0.77,2.061197,0.1,58.2,0.0,0.0,0.0,0.0,100000
124000,0.16,0.84,2.399377,0.1,55.2,0.0,0.0,0.0,0.0,100000
125000,0.19,0.81,1.871931,0.1,58.1,0.0,0.0,0.0,0.0,100000
126000,0.19,0.81,2.68786,0.1,55.0,0.0,0.0,0.0,0.0,100000
127000,0.21,0.79,1.564234,0.1,56.2,0.0,0.0,0.0,0.0,100000
128000,0.2,0.8,2.164313,0.1,60.4,0.0,0.0,0.0,0.0,100000
129000,0.18,0.82,4.348577,0.1,56.4,0.0,0.0,0.0,0.0,100000
130000,0.19,0.81,1.570867,0.1,57.0,0.0,0.0,0.0,0.0,100000
131000,0.2,0.8,2.062015,0.1,59.3,0.0,0.0,0.0,0.0,100000
132000,0.14,0.86,1.973897,0.1,52.8,0.0,0.0,0.0,0.0,100000
133000,0.18,0.82,3.212824,0.1,53.0,0.0,0.0,0.0,0.0,100000
134000,0.16,0.84,2.796446,0.1,56.1,0.0,0.0,0.0,0.0,100000
135000,0.19,0.81,2.870988,0.1,53.2,0.0,0.0,0.0,0.0,100000
136000,0.16,0.84,0.795768,0.1,57.3,0.0,0.0,0.0,0.0,100000
137000,0.22,0.78,3.0997,0.1,52.5,0.0,0.0,0.0,0.0,100000
138000,0.21,0.79,4.323467,0.1,52.7,0.0,0.0,0.0,0.0,100000
139000,0.2,0.8,5.684809,0.1,57.7,0.0,0.0,0.0,0.0,100000
140000,0.26,0.74,4.013803,0.1,58.0,0.0,0.0,0.0,0.0,100000
141000,0.22,0.78,0.832807,0.1,56.6,0.0,0.0,0.0,0.0,100000
142000,0.2,0.8,1.840317,0.1,59.2,0.0,0.0,0.0,0.0,100000
143000,0.17,0.83,2.789848,0.1,52.8,0.0,0.0,0.0,0.0,100000
144000,0.19,0.81,7.410751,0.1,56.0,0.0,0.0,0.0,0.0,100000
