episode,seat0_wr,bot_wr,loss,epsilon,avg_game_length,vd_s0,vd_s1,vd_s2,vd_s3,buffer_size
1000,0.59,0.41,0.11736,0.9388,95.4,0.74,3.67,3.65,3.89,68047
2000,0.46,0.54,4.024643,0.8747,89.5,0.9,4.6,4.52,4.36,100000
3000,0.45,0.55,6.724042,0.8128,85.5,0.74,4.53,4.46,4.61,100000
4000,0.49,0.51,1.724182,0.7508,87.1,0.5,4.7,4.5,4.59,100000
5000,0.6,0.4,0.158191,0.687,84.4,0.65,3.4,3.27,3.49,100000
6000,0.62,0.38,3.835488,0.625,89.3,0.76,2.83,2.66,3.29,100000
7000,0.75,0.25,0.368231,0.5632,83.0,0.48,3.15,2.48,3.29,100000
8000,0.62,0.38,0.206292,0.5006,89.6,1.01,3.62,3.8,4.01,100000
9000,0.68,0.32,0.200089,0.4383,92.2,0.85,3.62,2.94,3.78,100000
10000,0.57,0.43,0.311825,0.3768,91.8,0.9,3.68,3.39,3.59,100000
11000,0.61,0.39,0.37554,0.3153,87.2,0.74,4.27,3.88,4.06,100000
12000,0.66,0.34,0.269716,0.2553,94.1,0.7,3.46,3.22,3.57,100000
13000,0.6,0.4,0.284627,0.1936,89.2,0.83,3.76,3.43,3.6,100000
14000,0.66,0.34,0.489885,0.1349,97.7,0.96,3.31,2.78,3.25,100000
15000,0.7,0.3,1.250911,0.1,86.4,0.77,3.25,2.54,3.18,100000
16000,0.58,0.42,1.56632,0.1,92.5,0.75,3.35,2.9,3.43,100000
17000,0.52,0.48,0.25177,0.1,93.6,0.73,3.36,3.26,3.61,100000
18000,0.63,0.37,0.279447,0.1,84.2,0.86,3.32,2.91,3.52,100000
19000,0.67,0.33,0.466821,0.1,91.3,0.6,2.84,2.66,3.2,100000
20000,0.65,0.35,0.157086,0.1,86.4,0.68,3.68,2.96,3.5,100000
21000,0.62,0.38,0.149667,0.1,92.0,0.92,3.81,3.31,3.76,100000
22000,0.57,0.43,0.269085,0.1,86.5,0.96,2.1,1.85,2.56,100000
23000,0.67,0.33,0.624205,0.1,85.4,0.53,2.9,2.6,3.21,100000
24000,0.73,0.27,0.152489,0.1,87.6,0.82,3.26,2.54,2.9,100000
25000,0.67,0.33,0.179986,0.1,87.7,0.83,2.65,1.92,3.0,100000
26000,0.66,0.34,0.161388,0.1,93.2,1.0,3.46,2.87,3.49,100000
27000,0.7,0.3,0.125568,0.1,77.0,0.66,1.86,1.43,2.16,100000
28000,0.67,0.33,0.425427,0.1,88.3,0.91,3.21,2.84,3.17,100000
29000,0.56,0.44,0.174832,0.1,100.1,1.0,3.08,2.75,3.25,100000
30000,0.67,0.33,0.169477,0.1,93.5,0.44,3.18,2.86,3.33,100000
31000,0.71,0.29,0.339786,0.1,87.1,0.97,3.24,2.57,3.13,100000
32000,0.7,0.3,0.223695,0.1,79.1,0.53,3.29,2.34,3.12,100000
33000,0.74,0.26,0.14897,0.1,86.6,1.03,2.88,2.45,2.89,100000
34000,0.63,0.37,0.168111,0.1,89.7,0.67,2.63,2.16,2.7,100000
35000,0.65,0.35,0.303487,0.1,94.9,0.96,3.25,2.59,3.52,100000
36000,0.71,0.29,0.515261,0.1,95.8,1.08,3.36,2.89,3.38,100000
37000,0.71,0.29,0.171909,0.1,89.1,0.77,3.21,2.65,3.43,100000
38000,0.7,0.3,0.186559,0.1,103.1,0.8,2.71,2.34,3.01,100000
39000,0.76,0.24,0.235964,0.1,93.1,0.97,3.12,2.54,3.01,100000
40000,0.73,0.27,0.079726,0.1,96.0,0.9,3.0,2.36,3.35,100000
41000,0.63,0.37,0.164368,0.1,100.4,0.62,2.91,2.29,3.09,100000
42000,0.68,0.32,0.228168,0.1,96.3,0.99,3.17,1.97,3.15,100000
43000,0.68,0.32,0.171076,0.1,100.7,0.83,3.31,2.45,3.44,100000
44000,0.66,0.34,0.199469,0.1,89.3,0.8,3.08,2.43,3.1,100000
45000,0.68,0.32,0.164051,0.1,96.2,1.11,3.59,2.87,3.48,100000
46000,0.73,0.27,0.430666,0.1,86.8,0.78,2.89,1.89,2.89,100000
47000,0.74,0.26,0.190033,0.1,97.2,0.85,2.82,2.34,3.01,100000
48000,0.73,0.27,0.334365,0.1,96.6,1.03,3.21,2.63,3.13,100000
49000,0.78,0.22,0.259279,0.1,96.5,1.06,2.59,1.78,2.44,100000
50000,0.69,0.31,0.242271,0.1,98.2,0.84,3.11,2.58,3.12,100000
51000,0.72,0.28,0.208003,0.1,101.7,0.82,3.25,2.1,3.18,100000
52000,0.8,0.2,0.206949,0.1,90.4,0.75,2.82,1.68,2.45,100000
53000,0.74,0.26,0.122788,0.1,98.7,1.05,3.03,2.3,3.21,100000
54000,0.82,0.18,0.094854,0.1,105.0,0.95,2.68,1.92,2.89,100000
55000,0.7,0.3,0.54534,0.1,87.9,0.8,2.76,2.07,2.7,100000
56000,0.74,0.26,0.34926,0.1,94.0,0.67,2.96,1.99,3.2,100000
57000,0.67,0.33,0.190449,0.1,103.0,0.85,3.52,2.59,3.63,100000
58000,0.66,0.34,0.160252,0.1,101.7,0.84,3.23,2.6,3.29,100000
59000,0.69,0.31,0.329773,0.1,110.9,1.04,2.97,1.95,3.45,100000
60000,0.66,0.34,0.433164,0.1,104.0,0.55,2.92,2.43,3.14,100000
61000,0.69,0.31,0.298458,0.1,98.2,0.76,2.68,1.7,2.97,100000
62000,0.66,0.34,0.051706,0.1,95.6,0.89,2.89,2.33,3.32,100000
63000,0.79,0.21,0.36339,0.1,92.3,0.74,2.86,1.43,2.74,100000
64000,0.72,0.28,0.073967,0.1,99.5,0.48,2.54,1.91,2.88,100000
65000,0.75,0.25,0.210954,0.1,101.5,0.73,2.97,1.78,2.83,100000
